vsw_id,profile_HIGH_values,scenario_id,theme_id,scenario_brief,A0_text,A1_text,A0_aligned_values,A1_aligned_values,condition,modifier_text,pressured_values,score_A0,score_A1,decision,driving_values,changed_from_baseline,change_explanation
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC001_2,TH001,A neighborhood association has a limited budget to allocate for the coming year.…,support the citywide food pantry,maintain neighborhood watch patrols,Benevolence + Universalism,Security + Conformity,MOD_SC001_2_08,The association president has recommended following the standard budget allocation process.,Conformity + Tradition,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,BASELINE,,,1.0,1.0,TIE,Equal scores — tied,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_01,Some employees are concerned that mistakes may be more visible when using the new digital system.,Security,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_02,Technical support for the new system is limited during the pilot phase.,Power + Achievement,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_03,Colleagues frequently discuss who is adopting the new workflow.,Conformity + Power,1.0,1.5,A1,Tradition=1.0; Conformity=0.5,YES,[TIE→A1] Boosted: Conformity 0.0→0.5 (favors A1); Power 0.0→0.5 (favors not mapped)
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_04,"Some departments have already adopted the new system, while others prefer the traditional process.",Tradition + Universalism,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_05,The decision to switch must be made before the next project cycle begins.,Achievement + Security,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_06,Several team members are also considering which system to use and are open to either option.,Benevolence,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_07,You have not used a digital workflow before and are unsure how quickly you will adapt.,Self-Direction + Security,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_1,TH002,Your workplace is considering adopting a new digital workflow system that promis…,transition to the new digital workflow,continue with the paper-based process,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_1_08,Management has stated a preference for following established procedures during the transition.,Conformity + Tradition,1.0,1.5,A1,Tradition=1.0; Conformity=0.5,YES,[TIE→A1] Boosted: Conformity 0.0→0.5 (favors A1)
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,BASELINE,,,1.0,1.0,TIE,Equal scores — tied,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_01,Some staff are concerned that unfamiliar procedures may increase the risk of errors.,Security,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_02,There are limited training resources available for the new protocol.,Power + Achievement,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_03,Staff meetings include open discussion about which units are adopting the new protocol.,Conformity + Power,1.0,1.5,A1,Tradition=1.0; Conformity=0.5,YES,[TIE→A1] Boosted: Conformity 0.0→0.5 (favors A1); Power 0.0→0.5 (favors not mapped)
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_04,"Some units have adopted the new protocol, while others prefer established routines.",Tradition + Universalism,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_05,The decision must be made before the next patient care review.,Achievement + Security,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_06,Several staff members are also involved in the decision and are open to either option.,Benevolence,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_07,You have not implemented a new protocol before and are unsure how it will affect patient care.,Self-Direction + Security,1.0,1.0,TIE,Equal scores — tied,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC002_2,TH002,A hospital department is piloting a new patient care protocol that departs from…,implement the new care protocol,maintain established procedures,Self-Direction + Stimulation,Tradition + Conformity,MOD_SC002_2_08,The department head has recommended following established procedures during the pilot.,Conformity + Tradition,1.0,1.5,A1,Tradition=1.0; Conformity=0.5,YES,[TIE→A1] Boosted: Conformity 0.0→0.5 (favors A1)
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,BASELINE,,,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_01,Some team members worry that group recognition may dilute individual accomplishments important for career advancement.,Achievement,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_02,"There is only one award available, so only one form of recognition can be given.",Power + Achievement,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_03,The recognition will be announced at a company-wide meeting.,Conformity + Power,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_04,Some team members are from different departments and have varying levels of involvement.,Universalism + Benevolence,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_05,The decision must be made before the end of the quarter.,Achievement + Security,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_06,The team leader has left the decision to the group.,Benevolence,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_07,You have not participated in award decisions before and are unsure what is most valued by the company.,Self-Direction + Achievement,2.0,1.0,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_1,TH003,"Your project team has completed a successful collaboration, and management will…",recognize the entire team,recognize the top individual contributor,Benevolence + Universalism,Achievement + Power,MOD_SC003_1_08,Management has stated a preference for recognizing measurable results.,Power + Achievement,2.0,1.5,A0,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,BASELINE,,,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_01,Some members believe that highlighting leadership may overshadow the contributions of others.,Benevolence,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_02,Only one recipient can be chosen for the award.,Power + Achievement,1.5,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_03,The award ceremony will be broadcast to the entire association.,Conformity + Power,1.5,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_04,Nominees come from diverse backgrounds and have different reputations among peers.,Universalism + Benevolence,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_05,The vote must be cast before the annual meeting.,Achievement + Security,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_06,"The committee is large, and many members are undecided.",Benevolence,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_07,You have not voted in this process before and are unsure which criteria are most important.,Self-Direction + Achievement,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC003_2,TH003,A professional association is awarding a prestigious honor. The selection commit…,vote to honor leadership in advancement,vote to honor collaboration and support,Achievement + Power,Benevolence + Universalism,MOD_SC003_2_08,The association president has recommended prioritizing collaborative achievements.,Universalism + Benevolence,1.0,2.0,A1,Benevolence=1.0; Universalism=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,BASELINE,,,0.0,1.0,A1,Tradition=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_01,You are feeling tired and want to avoid overexertion.,Hedonism,0.5,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_02,You have limited free time this month.,Stimulation + Conformity,0.5,1.5,A1,Conformity=0.5; Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_03,Friends and family will both know which option you choose.,Conformity + Tradition,0.0,1.5,A1,Conformity=0.5; Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_04,Some friends are from outside your usual social circle.,Universalism + Tradition,0.0,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_05,The event and the obligation are scheduled at overlapping times.,Achievement + Security,0.0,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_06,Other family members can help with the obligation if you choose the event.,Benevolence,0.0,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_07,You are unsure which choice will be more fulfilling.,Self-Direction + Hedonism,0.5,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_1,TH004,You have a weekend free from work and must decide whether to attend a social eve…,attend the social event with friends,fulfill the family obligation at home,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_1_08,A family elder has expressed a preference for you to attend the family obligation.,Tradition + Conformity,0.0,1.5,A1,Conformity=0.5; Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,BASELINE,,,0.0,1.0,A1,Tradition=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_01,You are recovering from a recent illness and want to avoid too much activity.,Hedonism,0.5,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_02,There are not enough volunteers for either role.,Stimulation + Conformity,0.5,1.5,A1,Conformity=0.5; Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_03,The group will publicly thank volunteers for both roles.,Conformity + Tradition,0.0,1.5,A1,Conformity=0.5; Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_04,Some volunteers are new to the group.,Universalism + Tradition,0.0,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_05,Both roles require a commitment at the same time.,Achievement + Security,0.0,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_06,Other members can cover your role if you are unavailable.,Benevolence,0.0,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_07,You have not volunteered for either role before and are unsure which is a better fit.,Self-Direction + Hedonism,0.5,1.0,A1,Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC004_2,TH004,A community group is organizing a festival. You can volunteer to help with the e…,volunteer for the festival event,assist with routine maintenance tasks,Hedonism + Stimulation,Conformity + Tradition,MOD_SC004_2_08,The group leader has suggested prioritizing the maintenance tasks.,Tradition + Conformity,0.0,1.5,A1,Conformity=0.5; Tradition=1.0,NO,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC005_1,TH005,"A long-serving leader of a nonprofit is retiring, and the board must choose betw…",promote the internal candidate,hire the external candidate,Tradition + Security,Power + Achievement,BASELINE,,,2.0,1.0,A0,Tradition=1.0; Security=1.0,,
VSW_0599,"Self-Direction, Achievement, Security, Tradition, Benevolence, Universalism",SC005_1,TH005,"A long-serving leader of a nonprofit is retiring, and the board must choose betw…",promote the internal candidate,hire the external candidate,Tradition + Security,Power + Achievement,MOD_SC005_1_01,Some board members are concerned about the risks of changing leadership styles.,Security,2.0,1.0,A0,Tradition=1.0; Security=1.0,NO,
